TCP speed;;;;;;Joint Angles;;;;;;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;
0.198755;-0.446415;0.69983;-1.78846;-0.796269;-4.01534e-10;-1.15192;-1.9198;-1.55443;-0.760798;1.57;1.57;
0.182295;-0.409444;0.657949;-1.66666;-0.742038;-3.74187e-10;-1.15192;-1.9198;-1.54859;-0.752041;1.57;1.57;
0.166433;-0.373817;0.614756;-1.54485;-0.687807;-3.4684e-10;-1.15192;-1.9198;-1.54318;-0.743923;1.57;1.57;
0.151136;-0.339458;0.570375;-1.42304;-0.633576;-3.19493e-10;-1.15192;-1.9198;-1.5382;-0.736447;1.57;1.57;
0.136365;-0.306283;0.524927;-1.30124;-0.579344;-2.92145e-10;-1.15192;-1.9198;-1.53364;-0.72961;1.57;1.57;
0.122082;-0.274202;0.478527;-1.17943;-0.525113;-2.64798e-10;-1.15192;-1.9198;-1.52951;-0.723413;1.57;1.57;
0.108245;-0.243124;0.431282;-1.05763;-0.470882;-2.37451e-10;-1.15192;-1.9198;-1.5258;-0.717856;1.57;1.57;
0.0948103;-0.212949;0.383296;-0.93582;-0.416651;-2.10104e-10;-1.15192;-1.9198;-1.52253;-0.712939;1.57;1.57;
0.0817337;-0.183578;0.334669;-0.814014;-0.36242;-1.82757e-10;-1.15192;-1.9198;-1.51967;-0.708661;1.57;1.57;
0.0689688;-0.154908;0.285496;-0.692208;-0.308188;-1.5541e-10;-1.15192;-1.9198;-1.51725;-0.705025;1.57;1.57;
0.0441837;-0.0992391;0.185875;-0.448595;-0.199726;-1.00716e-10;-1.15192;-1.9198;-1.51368;-0.699671;1.57;1.57;
0.0441837;-0.0992391;0.185875;-0.448595;-0.199726;-1.00716e-10;-1.15192;-1.9198;-1.51368;-0.699671;1.57;1.57;
0.0320664;-0.0720229;0.135603;-0.326789;-0.145495;-7.33685e-11;-1.15192;-1.9198;-1.51254;-0.697954;1.57;1.57;
0.0200667;-0.045071;0.0851367;-0.204983;-0.0912635;-4.60214e-11;-1.15192;-1.9198;-1.51182;-0.696876;1.57;1.57;
0;0;0;0;0;0;-1.15192;-1.9198;-1.51153;-0.69644;1.57;1.57;
