TCP speed;;;;;;Joint Angles;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;
-0.574231;1.28975;1.66696;-4.13214;-1.83973;-9.27721e-10;-1.15192;-1.9198;-0.613061;-0.176661;1.57;1.57;
-0.571515;1.28365;1.56835;-3.98597;-1.77466;-8.94904e-10;-1.15192;-1.9198;-0.595609;-0.159209;1.57;1.57;
-0.566423;1.27222;1.47288;-3.83981;-1.70958;-8.62088e-10;-1.15192;-1.9198;-0.578796;-0.142396;1.57;1.57;
-0.559115;1.2558;1.38068;-3.69364;-1.6445;-8.29271e-10;-1.15192;-1.9198;-0.562623;-0.126223;1.57;1.57;
-0.549749;1.23476;1.29186;-3.54747;-1.57942;-7.96455e-10;-1.15192;-1.9198;-0.54709;-0.11069;1.57;1.57;
-0.538475;1.20944;1.20647;-3.4013;-1.51435;-7.63638e-10;-1.15192;-1.9198;-0.532198;-0.0957978;1.57;1.57;
-0.525441;1.18017;1.12454;-3.25514;-1.44927;-7.30822e-10;-1.15192;-1.9198;-0.517945;-0.0815452;1.57;1.57;
-0.510785;1.14725;1.04608;-3.10897;-1.38419;-6.98005e-10;-1.15192;-1.9198;-0.504332;-0.0679324;1.57;1.57;
-0.49464;1.11099;0.971058;-2.9628;-1.31911;-6.65188e-10;-1.15192;-1.9198;-0.49136;-0.0549596;1.57;1.57;
-0.477133;1.07167;0.899435;-2.81663;-1.25404;-6.32372e-10;-1.15192;-1.9198;-0.479027;-0.0426267;1.57;1.57;
-0.458384;1.02955;0.831139;-2.67047;-1.18896;-5.99555e-10;-1.15192;-1.9198;-0.467334;-0.0309342;1.57;1.57;
-0.438504;0.984904;0.766082;-2.5243;-1.12388;-5.66739e-10;-1.15192;-1.9198;-0.456281;-0.0198816;1.57;1.57;
-0.417601;0.937954;0.704159;-2.37813;-1.0588;-5.33922e-10;-1.15192;-1.9198;-0.445869;-0.00946886;1.57;1.57;
-0.395773;0.888927;0.645248;-2.23196;-0.993727;-5.01106e-10;-1.15192;-1.9198;-0.436096;0.000304112;1.57;1.57;
-0.373112;0.83803;0.589214;-2.0858;-0.928649;-4.68289e-10;-1.15192;-1.9198;-0.426963;0.00943685;1.57;1.57;
-0.349706;0.78546;0.535911;-1.93963;-0.863572;-4.35473e-10;-1.15192;-1.9198;-0.41847;0.0179296;1.57;1.57;
-0.325635;0.731394;0.48518;-1.79346;-0.798494;-4.02656e-10;-1.15192;-1.9198;-0.410618;0.0257823;1.57;1.57;
-0.300973;0.676001;0.436852;-1.64729;-0.733417;-3.69839e-10;-1.15192;-1.9198;-0.403405;0.0329951;1.57;1.57;
-0.275789;0.619437;0.390752;-1.50113;-0.668339;-3.37023e-10;-1.15192;-1.9198;-0.396832;0.0395678;1.57;1.57;
-0.250148;0.561846;0.346695;-1.35496;-0.603262;-3.04206e-10;-1.15192;-1.9198;-0.390899;0.0455006;1.57;1.57;
-0.224109;0.503361;0.304491;-1.20879;-0.538184;-2.7139e-10;-1.15192;-1.9198;-0.385607;0.0507933;1.57;1.57;
-0.197727;0.444105;0.263946;-1.06262;-0.473107;-2.38573e-10;-1.15192;-1.9198;-0.380954;0.055446;1.57;1.57;
-0.171054;0.384196;0.224859;-0.916456;-0.40803;-2.05757e-10;-1.15192;-1.9198;-0.376941;0.0594588;1.57;1.57;
-0.144138;0.323741;0.187026;-0.770289;-0.342952;-1.7294e-10;-1.15192;-1.9198;-0.373568;0.0628315;1.57;1.57;
-0.117024;0.262841;0.15024;-0.624121;-0.277875;-1.40124e-10;-1.15192;-1.9198;-0.370836;0.0655643;1.57;1.57;
-0.0897547;0.201594;0.114293;-0.477954;-0.212797;-1.07307e-10;-1.15192;-1.9198;-0.368743;0.067657;1.57;1.57;
-0.0897547;0.201594;0.114293;-0.477954;-0.212797;-1.07307e-10;-1.15192;-1.9198;-0.368743;0.067657;1.57;1.57;
-0.0623719;0.140091;0.0789729;-0.331787;-0.14772;-7.44905e-11;-1.15192;-1.9198;-0.36729;0.0691097;1.57;1.57;
-0.0349147;0.0784203;0.0440666;-0.185619;-0.0826423;-4.1674e-11;-1.15192;-1.9198;-0.366477;0.0699225;1.57;1.57;
-0.00742172;0.0166696;0.00936074;-0.0394516;-0.0175648;-8.85741e-12;-1.15192;-1.9198;-0.366305;0.0700952;1.57;1.57;
